wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q107722535,Abdi Sheikh Ahmed Roble,Abdi Sheikh Ahmed Roble,,,,,Q107722536,Minister of Posts and Telecommunications,Q107722535-580CE36C-755C-4084-B01B-87F15755D54B
Q16199176,Abdirahman Duale Beyle,Abdirahman Duale Beyle,male,1955-01-01T00:00:00Z,9,https://opm.gov.so/en/cabinet,Q107710013,Minister of Finance,Q16199176-1AC593A7-C031-42E7-97DE-8C5B802C8447
Q107722532,Abdulkadir Mohamed Nur (Jama),Abdulkadir Mohamed Nur (Jama),,,,,Q107722534,Minister of Justice,Q107722532-29592D71-59D8-42CA-BCAD-6A05F0DEC558
Q107722530,Abdullahi Abukar Haji,Abdullahi Abukar Haji,,,,,Q107722531,Minister of Education,Q107722530-01AD86DB-FCB8-4077-B7ED-99FF7F4691F9
Q107722528,Abdullahi Bidhan Warsame,Abdullahi Bidhan Warsame,,,,,Q107722529,Minister of Fisheries and Marine Resources,Q107722528-C4334E82-8B94-4047-B302-48445E7EAEE7
Q23540881,Cabdirashiid Maxamed Axmed,Abdirashid Mohamed Ahmed,male,,,https://opm.gov.so/en/cabinet,Q107709981,Minister of Petroleum and mineral resources,Q23540881-188D9A5C-9099-4123-93C8-283448B235C4
Q107722525,Duran Ahmed Farah,Duran Ahmed Farah,,,,,Q107722527,Minister of Labor and social affairs,Q107722525-77DBD3FD-E584-4AA1-9C5C-532A7CA045B4
Q107722523,Fowsiya Abiikar Nur,Fowsiya Abiikar Nur,,,,,Q107722524,Minister of Health and Social Care,Q107722523-FCA3D525-BC14-4D46-8728-6F8583002B05
Q19958039,Gamal Mohamed Hassan,Jamal Mohamed Hassan,male,,,https://opm.gov.so/en/cabinet,Q107709924,"Minister of Planning, investment and Economic development",Q19958039-8D91BC46-5808-44BB-9828-A9413D6EB06C
Q107722521,Hamza Said Hamza,Hamza Said Hamza,,,,,Q107722522,Minister of Youth and Sports,Q107722521-35D53853-4CC4-478B-9FD8-27FDECB60CBB
Q106614987,Hanifa Mohamed Ibrahim,Haniifa Mohamed Ibrahim,female,1991-06-25T00:00:00Z,11,https://opm.gov.so/en/cabinet,Q107709936,Minister of Women and Human Rights,Q106614987-03525C62-1912-4335-AC87-D9017EBC897F
Q107722518,Hassan Abdi Nur,Hassan Abdi Nur,,,,,Q107722520,Minister of Water and Energy,Q107722518-5AF22663-4410-4F80-AC62-8F5644627845
Q107722516,Hassan Hundumey Jimale,Hassan Hundumey Jimale,,,,,Q107722517,Minister of Internal Security,Q107722516-60B59999-863D-4DBA-A80C-DD5156A0C431
Q107722514,Hassan Hussien Haji,Hassan Hussien Haji,,,,,Q107722515,Minister of Defense,Q107722514-65456FEE-0762-47F5-BB5C-84E90CFE1B06
Q107722511,Hussein Sheikh Mahmud Hussein,Hussein Sheikh Mahmud Hussein,,,,,Q107722512,Minister of Livestock,Q107722511-4A98511C-4D70-4B31-B379-F1FEC43684F1
Q107722508,Khadija Mohamed Dirie,Khadija Mohamed Dirie,,,,,Q107722509,Minister of Humanitarian Affairs and Disaster Management,Q107722508-8FD7BDEA-599A-40B0-9065-41E1BA7947FB
Q107722487,Khalif Abdi Omar,Khalif Abdi Omar,,,,,Q66499344,Minister of Commerce and Industry,Q107722487-BDDA4352-08DA-44D5-B55A-01150E80001E
Q107722506,Maryan Aweys,Maryan Aweys,,,,,Q107722507,Minister of Ports and Marine Transport,Q107722506-9000D0FD-3901-4169-B8E6-3C4328D7E247
Q107722495,Mohamed Abdirizak Mohamud,Mohamed Abdirizak Mohamud,,,,,Q98685961,Foreign Minister of Somalia,Q107722495-06D4E109-D8FC-495B-9A42-778989CE34CD
Q107722504,Mohamed Abdullahi Salad,Mohamed Abdullahi Salad,,,,,Q107722505,Minister of Air Transport and Aviation,Q107722504-6C8F658F-CB43-4D74-BA51-A99A3C5529DD
Q107722502,Mohamed Adam Mo’alim,Mohamed Adam Mo’alim,,,,,Q107722503,Minister of Public Works and Reconstruction,Q107722502-36010EC8-4987-4EBD-A6E3-BC39866B4F68
Q107722500,Mukhtar Hussien Afrah,Mukhtar Hussien Afrah,,,,,Q107722501,"Minister of Interior, Federal Affairs and reconciliation",Q107722500-E53E886A-73F2-481C-AC8F-BC64EF2D000D
Q105627781,Osman Obokor Duble,Osman Dubbe,male,1971-01-01T00:00:00Z,9,https://opm.gov.so/en/cabinet,Q107709964,Minister of Information,Q105627781-7BE4B505-84BD-4CEB-AF16-673691A4BCBA
Q18764136,Said Hussein Iid,Said Hussein Iid,male,,,https://opm.gov.so/en/cabinet,Q107709954,Minister of Agriculture And Irrigation,Q18764136-39E5ECCF-BCB6-48D7-A57F-C3C768DEDCF0
Q107722390,Salah Ahmed Jama,Salah Ahmed Jama,,,,,Q107722391,Minister of Constitutional Affairs,Q107722390-47508B02-720B-49F3-BCBE-4ECB1885A65F
Q107722496,Sheikh Nur Mohamed Hassan,Sheikh Nur Mohamed Hassan,,,,,Q107722497,Minister of Religious Affairs,Q107722496-0DC3F22F-A619-4399-802E-2E29E274270E
Q99605101,name,Mohamed Hussein Roble,male,1963-10-01T00:00:00Z,10,https://opm.gov.so/en/cabinet,Q1335939,position,Q99605101-bd985e06-4b17-9578-73bd-9721adfcd55f
