id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q19364214,President of Somalia,Q1045,Q1045,,Q737028,1960-07-01,,,,President of Somalia
Q1335939,Prime Minister of Somalia,Q1045,Q1045,,,1956-02-29,,,,List of prime ministers of Somalia
Q107709954,Minister of Agriculture And Irrigation,Q1045,Q1045,,,,,,,
Q107722505,Minister of Air Transport and Aviation,Q1045,Q1045,,,,,,,
Q66499344,Minister of Commerce and Industry,Q1045,Q1045,,,,,,,
Q107722391,Minister of Constitutional Affairs,Q1045,Q1045,,,,,,,
Q98684633,Defence Minister of Somalia,Q1045,Q1045,,,,,,,
Q107722531,Minister of Education,Q1045,Q1045,,,,,,,
Q107710013,Minister of Finance,Q1045,Q1045,,,,,,,
Q107722529,Minister of Fisheries and Marine Resources,Q1045,Q1045,,,,,,,
Q98685961,Foreign Minister of Somalia,Q1045,,,,,,,,
Q107722524,Minister of Health and Social Care,Q1045,Q1045,,,,,,,
Q107722509,Minister of Humanitarian Affairs and Disaster Management,Q1045,Q1045,,,,,,,
Q107709964,Minister of Information,Q1045,Q1045,,,,,,,
Q107722501,"Minister of Interior, Federal Affairs and reconciliation",Q1045,Q1045,,,,,,,
Q107722517,Minister of Internal Security,Q1045,Q1045,,,,,,,
Q107722534,Minister of Justice,Q1045,Q1045,,,,,,,
Q107722527,Minister of Labor and social affairs,Q1045,Q1045,,,,,,,
Q107722512,Minister of Livestock,Q1045,Q1045,,,,,,,
Q107709981,Minister of Petroleum and Mineral Resources,Q1045,Q1045,,,,,,,
Q107709924,"Minister of Planning, investment and Economic development",Q1045,Q1045,,,,,,,
Q107722507,Minister of Ports and Marine Transport,Q1045,Q1045,,,,,,,
Q107722536,Minister of Posts and Telecommunications,Q1045,Q1045,,,,,,,
Q107722503,Minister of Public Works and Reconstruction,Q1045,Q1045,,,,,,,
Q107722497,Minister of Religious Affairs,Q1045,Q1045,,,,,,,
Q107722520,Minister of Water and Energy,Q1045,Q1045,,,,,,,
Q107709936,Minister of Women and Human Rights,Q1045,Q1045,,,,,,,
Q107722522,Minister of Youth and Sports,Q1045,Q1045,,,,,,,
Q109745132,Speaker of the House of the People,,,,,,,,,
Q109745150,Speaker of the Upper House of Somalia,,,,,,,,,
Q109745158,Governor of the Central Bank of Somalia,Q1045,,,,,,,,
Q96374894,Chief of Defence Force,,,,,,,,,Chief of Defence Force (Somalia)
