position,title
Q19364214,President
Q1335939,Prime Minister
Q107709954,Minister of Agriculture And Irrigation
Q107722505,Minister of Air Transport and Aviation
Q66499344,Minister of Commerce and Industry
Q107722391,Minister of Constitutional Affairs
Q98684633,Minister of Defence
Q107722531,Minister of Education
Q107710013,Minister of Finance
Q107722529,Minister of Fisheries and Marine Resources
Q98685961,Minister of Foreign Affairs
Q107722524,Minister of Health and Social Care
Q107722509,Minister of Humanitarian Affairs and Disaster Management
Q107709964,Minister of Information
Q107722501,"Minister of Interior, Federal Affairs and Reconciliation"
Q107722517,Minister of Internal Security
Q107722534,Minister of Justice
Q107722527,Minister of Labour and Social Affairs
Q107722512,Minister of Livestock
Q107709981,Minister of Petroleum and Mineral Resources
Q107709924,"Minister of Planning, investment and Economic Development"
Q107722507,Minister of Ports and Marine Transport
Q107722536,Minister of Posts and Telecommunications
Q107722503,Minister of Public Works and Reconstruction
Q107722497,Minister of Religious Affairs
Q107722520,Minister of Water and Energy
Q107709936,Minister of Women and Human Rights
Q107722522,Minister of Youth and Sports
Q109745132,Speaker of the House of the People
Q109745150,Speaker of the Upper House
Q109745158,Governor of the Central Bank
Q96374894,Chief of Defence Force
